NN,l1,RF,XGBoost,true
0.14748206734657288,0.18198336630588957,0.14037556450472857,0.1860358,0
0.2194066047668457,0.28360556827837113,0.2886445535528738,0.24742219,0
0.09824305772781372,0.10972578514109038,0.11857781173546827,0.17832138,0
0.09824305772781372,0.10972578514109038,0.11857781173546827,0.17832138,0
0.09920668601989746,0.12947646575590818,0.17399608002590833,0.16417468,0
0.3772622048854828,0.28624097854894504,0.6705863936478552,0.26373857,0
0.3631018400192261,0.33709547813085255,0.4531464091903839,0.4324072,1
0.09601736068725586,0.12878148688911928,0.1019479311666704,0.13298619,0
0.27390581369400024,0.30549419196748345,0.25765895637697506,0.26692563,0
0.1668711006641388,0.17403136575596018,0.19120473819792594,0.2078987,0
0.21696770191192627,0.25557491991971065,0.16542018091875899,0.21976474,0
0.4302632510662079,0.24098634971622712,0.6445351613875431,0.20864484,1
0.21626999974250793,0.23196969208200496,0.2220086488907152,0.24755728,0
0.21627041697502136,0.23196969208200496,0.2220086488907152,0.24755728,0
0.14257580041885376,0.15220774760127592,0.200426191266417,0.19324613,0
0.2116117775440216,0.3091751781712971,0.33771905262763796,0.32179123,1
0.13803619146347046,0.15915497036544626,0.17088413786970702,0.2245697,0
0.6273552179336548,0.7125393033920533,0.584834679614813,0.5880047,1
0.22776079177856445,0.27341945433659287,0.32614464762935413,0.23151988,0
0.9288465976715088,0.35672017618976276,0.3489121555556416,0.25955126,1
0.44669029116630554,0.444339307891903,0.43849147405685207,0.5614503,0
0.10755684971809387,0.12537032429071465,0.10389631180462368,0.13934954,0
0.2917521595954895,0.286185555127121,0.18248491607968464,0.22035,0
0.23154374957084656,0.2858302384534607,0.24535922814434483,0.23272425,0
0.09417146444320679,0.11995332850067417,0.11797809353084106,0.13500698,0
0.09329178929328918,0.13998558089168875,0.17015507947323644,0.19328564,0
0.12063518166542053,0.1567663873405483,0.1642862211440872,0.18884905,0
0.07341712713241577,0.12220892228261071,0.13099216681842799,0.19247416,0
0.08751416206359863,0.12220892228261071,0.13308339137181893,0.19247416,0
0.07222455739974976,0.11578492455584842,0.1162246731254467,0.13637249,0
0.05915948748588562,0.11979183863239748,0.17327923324263547,0.1858171,0
0.05915948748588562,0.11979183863239748,0.17327923324263547,0.1858171,0
0.2741422653198242,0.31680209614111304,0.43789194492435735,0.4092521,0
0.10248738527297974,0.21343551613596431,0.2478289748364453,0.19539389,0
0.07739004492759705,0.11578492455584842,0.11754259552677533,0.13637249,0
0.10746109485626221,0.19413661790154618,0.2018102642139824,0.22868995,0
0.18308475613594055,0.22707823645886757,0.1774742093416452,0.21927726,0
0.16994112730026245,0.22059720010849718,0.17690413124623589,0.21579863,0
0.1642889678478241,0.3284369233403743,0.27352444790154345,0.26976675,0
0.0662396252155304,0.11431958111524441,0.12239823938407943,0.16375649,0
0.16965177655220032,0.22931802073854132,0.18990964701168744,0.21948475,0
0.17678099870681763,0.31142809921887005,0.29103220223799775,0.2288011,0
0.5713552832603455,0.49068689046918756,0.39372942508948516,0.33670774,0
0.13792318105697632,0.21014305254390678,0.22210545676130342,0.25564295,0
0.12964731454849243,0.20150460400060968,0.2695749877423404,0.26663816,1
0.16883111000061035,0.23074967818411465,0.20544295448125882,0.24514039,0
0.17474883794784546,0.23074967818411465,0.20613513047762627,0.24514039,0
0.1352972388267517,0.21843222471188387,0.19462016737256915,0.21483788,1
0.06026962399482727,0.1940935861696755,0.15028988044002908,0.22133708,0
0.11456063389778137,0.25651276342546964,0.2691676351744345,0.30591595,0
0.062031954526901245,0.1124431676767295,0.10758274794712977,0.13252416,1
0.11552309989929199,0.20988598819017873,0.2031981987236493,0.2019311,0
0.14179518818855286,0.20648122308053968,0.18854461425145277,0.22601946,1
0.33328157663345337,0.3780921840915871,0.4195080156612134,0.51293445,0
0.09171497821807861,0.20777051051006978,0.17830364875375612,0.17553186,0
0.09509587287902832,0.18948677709681397,0.19897817767932846,0.22510505,0
0.14999499917030334,0.21354329663617,0.20403338135615406,0.24514039,0
0.10143265128135681,0.18916762967476186,0.21293958835465457,0.25142723,0
0.10662841796875,0.15756757818994574,0.14360146683862685,0.16624333,0
0.7324892282485962,0.7926776646022872,0.584144624793614,0.5341573,0
0.06137743592262268,0.12202136964977664,0.13673522959434228,0.15581794,0
0.09666672348976135,0.21063962226540903,0.1887845844821134,0.24596451,0
0.7619117498397827,0.7368821440680451,0.5974460400695704,0.5683454,1
0.7686364650726318,0.7384463433204447,0.5974460400695704,0.5684237,1
0.12679800391197205,0.16914908532906553,0.169015632809077,0.18967582,0
0.19232475757598877,0.22175660096469876,0.18768261871599248,0.22035,0
0.1397407352924347,0.2695508803592285,0.34340091079812085,0.29918188,1
0.2796628475189209,0.3442167867281555,0.33458668963123867,0.2985251,1
0.09641379117965698,0.14079492096213672,0.14292938861352728,0.19002281,1
0.7863443493843079,0.7425441569698357,0.5976868245893147,0.5684237,1
0.08343225717544556,0.10920955949544915,0.15000088818387355,0.19328015,0
0.10175934433937073,0.12102069333190621,0.10548966021815924,0.14326358,0
0.27551981806755066,0.35068954952260495,0.3060548183265298,0.23590356,1
0.2294008433818817,0.23457380895911337,0.20935271757200383,0.23505726,0
0.12465929985046387,0.21349027996853123,0.17390118105680255,0.21366823,0
0.3684508800506592,0.27939872835745966,0.3986472658095939,0.50909996,0
0.06139865517616272,0.15914433621950713,0.120928361787829,0.16813157,0
0.25664860010147095,0.32520437433988253,0.3034712396417955,0.23590356,1
0.251089483499527,0.14819750891622302,0.16634886769685886,0.15069598,0
0.12471312284469604,0.21349027996853123,0.17390118105680255,0.21366823,0
0.17125728726387024,0.22545893757427166,0.20130149448264464,0.21729046,0
0.2409672737121582,0.14195223574916827,0.17432700603473408,0.15116043,0
0.417904257774353,0.41298460376648616,0.6570933627375074,0.5978843,1
0.417904257774353,0.41298460376648616,0.6570933627375074,0.5978843,0
0.3334920108318329,0.32899857178408365,0.4493383645422978,0.4154273,0
0.45423758029937744,0.449887369186834,0.45003434079392857,0.5677151,1
0.2969968020915985,0.3380120445559262,0.3039545658114107,0.26350397,0
0.23582416772842407,0.22976916093957633,0.2762592259381622,0.26534283,0
0.27734899520874023,0.14928028477291924,0.18567253337910478,0.15957835,0
0.28194138407707214,0.2943404512814136,0.24373187620684425,0.27815214,0
0.16629481315612793,0.18215587362859562,0.19168550410198845,0.2078987,0
0.24300548434257507,0.22863464522879076,0.20879163467414566,0.25738484,0
0.2430049180984497,0.22863464522879076,0.20879163467414566,0.25738484,0
0.07909104228019714,0.11202168707096695,0.1373838263573695,0.16256997,0
0.16631576418876648,0.18215587362859562,0.19228852175498545,0.2141635,0
0.22321638464927673,0.2355759271498201,0.21849783504889297,0.26294333,0
0.2916898727416992,0.3502683389287653,0.3595675694139432,0.34789392,1
0.8270797729492188,0.8015455149061276,0.6178410688770706,0.5019273,1
0.16070646047592163,0.18215587362859562,0.1925307401337148,0.2141635,0
0.08728331327438354,0.12693808607541326,0.13315757273866505,0.19255628,0
0.32330313324928284,0.37214245727120826,0.3602518432414264,0.34363228,0
0.16074368357658386,0.2056107653903377,0.14120837369318504,0.19304945,1
0.2002556025981903,0.23111635170145262,0.2105386193712069,0.24526465,1
0.31631773710250854,0.3410108607627299,0.25634121467672066,0.25955126,0
0.09862199425697327,0.12631937615653036,0.1435704868669862,0.2107978,0
0.28648608922958374,0.2887709106507114,0.24036251865274819,0.2740614,0
0.26338744163513184,0.3535687272448726,0.3575211584250152,0.3585773,0
0.4261702299118042,0.3069846410613276,0.300627779820005,0.2652492,0
0.20019719004631042,0.2266413429689243,0.19780871373416017,0.23491552,0
0.20019719004631042,0.2266413429689243,0.19780871373416017,0.23491552,0
0.18594089150428772,0.21706032455177662,0.21220924910499456,0.21787547,1
0.18458104133605957,0.2509444201885598,0.24951069198603398,0.276933,0
0.188845694065094,0.22848914677748688,0.20222647325372742,0.23950349,0
0.3015841245651245,0.35214656393008503,0.33505643987719647,0.2797979,0
0.29016169905662537,0.34483666025995363,0.3353261230752636,0.30295116,0
0.2785891592502594,0.3393864516735245,0.33079825323790407,0.2797979,1
0.19442686438560486,0.21713651670753892,0.17859648299649566,0.22035,0
0.14369118213653564,0.18607705592510498,0.21510126411537991,0.21555533,0
0.1615537405014038,0.2051296065979009,0.21534736731631587,0.24941967,1
0.16726115345954895,0.2051296065979009,0.21476670623578648,0.24941967,1
0.2452462613582611,0.271050771837465,0.21192684625228303,0.24094948,0
0.10987496376037598,0.14844450391914818,0.13547540476095915,0.15991546,0
0.26120230555534363,0.2266582955256601,0.15910296797744936,0.17993468,0
0.2568959593772888,0.2816172434299128,0.3093560932248719,0.24558282,0
0.28200238943099976,0.3125293441445494,0.44452180170382327,0.4509084,0
0.28200238943099976,0.3125293441445494,0.44452180170382327,0.4509084,0
0.17322134971618652,0.21897525175716478,0.19509814505951192,0.22035,0
0.1943455934524536,0.21137063745168252,0.15048977042690959,0.16434887,0
0.1864674985408783,0.206812812392593,0.17233731407067684,0.21147566,0
0.19435077905654907,0.21137063745168252,0.15027920479081203,0.16434887,0
0.09966549277305603,0.1397419853475377,0.30419077695298175,0.26018196,1
0.3446534276008606,0.3625134720489902,0.38028213912116,0.37075806,0
0.09829080104827881,0.130081611230571,0.1261676214361062,0.15446632,0
0.3343266248703003,0.40432887049906824,0.34799521328770283,0.29784372,0
0.0711972713470459,0.16026744624563893,0.12550355697058044,0.16578223,0
0.11591607332229614,0.12990618310766497,0.12063633047928965,0.15446632,0
0.06995058059692383,0.1572212310053871,0.12551799277787054,0.16578223,0
0.19668906927108765,0.22485906198583613,0.2147401625900524,0.2693994,0
0.08342495560646057,0.0962338629103422,0.15166092275199966,0.14965306,0
0.3383323550224304,0.3773465223327017,0.33772912894097906,0.3168151,0
0.3310078978538513,0.36867183097290646,0.3391368436743413,0.2852784,1
0.0700354278087616,0.16525074811003693,0.13731357315110262,0.17040661,0
0.12179434299468994,0.20282087552014,0.17951770634700528,0.21147566,0
0.2773684859275818,0.28616105602692626,0.23411918367240736,0.26236734,1
0.23694971203804016,0.26677216070561616,0.21443502828800357,0.24894181,0
0.19260534644126892,0.19377039274117933,0.23382125420887365,0.22125241,0
0.2816334366798401,0.2464084930375075,0.3185443522964489,0.21801376,0
0.23723497986793518,0.21796193843858125,0.22859302271822132,0.1736619,1
0.12625527381896973,0.18462398165237004,0.20969308629071712,0.2752589,0
0.1262553632259369,0.18462398165237004,0.20969308629071712,0.2752589,0
0.256233811378479,0.203940477423991,0.6608341097379525,0.21511614,0
0.0960547924041748,0.1326908079244305,0.18184571773847524,0.1847458,0
0.09286224842071533,0.12148754327816803,0.15416054246582378,0.1775594,0
0.13989710807800293,0.14761989387060914,0.1504984507480717,0.18294472,1
0.12294027209281921,0.1621032679327989,0.13909329496517991,0.21927819,0
0.12025812268257141,0.18439414143145594,0.18477788561938702,0.27347362,0
0.22188952565193176,0.20429661888581516,0.1987093147241708,0.2080878,0
0.10253322124481201,0.10823120914978966,0.22928461074966505,0.17770417,0
0.16199883818626404,0.1684719664092047,0.15210026298469356,0.16957597,0
0.19029805064201355,0.21426948545040672,0.1992257142014161,0.2668981,0
0.17275920510292053,0.17035496237488865,0.1407528073090222,0.1626801,0
0.22721260786056519,0.2355047188650365,0.20868751368951932,0.25278813,0
0.8418424129486084,0.2805536847094254,0.3514849094419997,0.27258813,1
0.7581033706665039,0.7307215034589944,0.5871934494036722,0.56644654,0
0.12603837251663208,0.17778507680858663,0.13714745757606245,0.17979527,0
0.10494792461395264,0.17353423846609686,0.18833450274091587,0.25453597,0
0.12562832236289978,0.13335771315363953,0.12758897483535872,0.15446632,0
0.320870041847229,0.33136696503412494,0.32587641005277784,0.2716541,1
0.16224738955497742,0.23327307849663856,0.3352561368093728,0.26475433,0
0.49491021037101746,0.48457067765856376,0.4190545356809323,0.23857172,1
0.12486189603805542,0.14827244276835255,0.19010438211003797,0.18737376,1
0.12486189603805542,0.14827244276835255,0.19010438211003797,0.18737376,0
0.16198310256004333,0.16892827488107595,0.16517708519988858,0.18884905,0
0.6752336621284485,0.6938074104241111,0.5847268473061615,0.5171653,1
0.09295246005058289,0.1191167984599977,0.10979168203213345,0.16164573,0
0.1917535662651062,0.2196861433626396,0.17800475932378804,0.21729046,0
0.19741478562355042,0.175890783790676,0.2202205042029472,0.23960534,1
0.21762073040008545,0.1783256905838316,0.19775585984031543,0.2610988,0
0.23177841305732727,0.22548218887227559,0.21476007038326453,0.24446262,0
0.08982789516448975,0.12495496167356335,0.20869852202445088,0.24752344,0
